    วันที่    ,กองทุนและโบรกเกอร์,ต่างชาติ,รายย่อย,SET,Chg
26-07-17,-646.48,5152.86,-4506.38,1639.04,3.75
26-07-16,158.08,3405.83,-3563.91,1635.29,5.08
26-07-15,1438.06,978.41,-2416.48,1630.21,4.18
26-07-14,-3147.28,3991.98,-844.69,1626.03,-1.87
26-07-13,-860.95,147.83,713.12,1627.9,6.35
26-07-10,2688.65,2080.73,-4769.38,1621.55,13.25
26-07-09,-902.79,8634.39,-7731.61,1608.3,32.05
26-07-08,-4334.36,3225.64,1108.72,1576.25,-27.88
26-07-07,-5343.8,1054.38,4289.42,1604.13,-12.75
26-07-06,-1134.62,735.38,399.24,1616.88,5.6
26-07-03,490.53,5782.12,-6272.65,1611.28,17.72
26-07-02,-1072.2,8560.06,-7487.86,1593.56,5.33
26-07-01,-973.58,-1592.02,2565.61,1588.23,-3.01
26-06-30,234.48,5745.44,-5979.92,1591.24,13.43
26-06-29,-925.71,7599.48,-6673.77,1577.81,35.47
26-06-26,-1807.95,1347.18,460.77,1542.34,-16.21
26-06-25,-1722.7,660.93,1061.77,1558.55,10.33
26-06-24,825.58,29.07,-854.64,1548.22,7.32
26-06-23,3591.51,-14809.6,11218.1,1540.9,-33.23
26-06-22,-2133.44,2567.54,-434.1,1574.13,1.63
26-06-19,581.15,-3779.01,3197.86,1572.5,-12.56
26-06-18,385.13,2056.62,-2441.75,1585.06,-2.01
26-06-17,250.34,933.34,-1183.67,1587.07,-0.98
26-06-16,1353.01,630.24,-1983.24,1588.05,-3.67
26-06-15,9418.97,-335.52,-9083.46,1591.72,-0.69
26-06-12,505.88,4476.9,-4982.78,1592.41,20.09
26-06-11,-1390.74,-56.37,1447.11,1572.32,8.73
26-06-10,-1876.68,-1899.87,3776.55,1563.59,-20.55
26-06-09,-1157.94,-579.32,1737.27,1584.14,22.46
26-06-08,-3116.11,-3497.9,6614.01,1561.68,-20.92
26-06-05,-287.79,-1357.06,1644.86,1582.6,-12.19
26-06-04,600.58,-1473.52,872.94,1594.79,6.73
26-06-02,574.74,8597.82,-9172.56,1588.06,19.69
26-05-29,-941.62,-1579.38,2521,1568.37,-0.6
26-05-28,-1544.38,-2209.02,3753.4,1568.97,-1.98
